Teff_key,Prot_key,logRHK_key,BV
5977,12.57,-4.9693,0.562037
6124,8.84,-4.9393,0.516944
5964,13.78,-4.7775,0.566078
6022,6.94,-4.6458,0.548116
6137,10.73,-4.7641,0.513008
5880,17.07,-4.8812,0.592405
5866,13.98,-4.8934,0.596829
5492,22.89,-4.7645,0.7191
6452,3.78,-4.6373,0.44
5711,21.52,-4.9048,0.646529
5487,36.17,-5.0355,0.720791
5963,12.6,-4.7566,0.56639
5759,17.45,-4.8037,0.630995
5760,31.24,-4.9338,0.630673
5365,29.6,-4.8643,0.762523
5812,20.09,-4.939,0.613993
6020,13.41,-4.8331,0.548733
5926,19.69,-4.9542,0.577942
5628,34.94,-4.9908,0.6737
5802,17.48,-4.8013,0.617189
5723,17.73,-4.8196,0.642634
5419,12.88,-4.5279,0.743935
6010,10.12,-4.78,0.551818
5919,9.03,-4.5905,0.580135
5835,18.06,-4.9201,0.606663
5927,7.97,-4.5086,0.577629
5856,16.78,-4.9349,0.599995
5199,23.86,-5.0187,0.820855
5740,13.88,-4.7266,0.637129
5530,28.37,-4.7807,0.706303
5393,25.05,-4.9182,0.752861
5668,33.01,-4.8744,0.660556
5923,12.62,-4.7317,0.578881
5638,8.86,-4.5643,0.670406
6498,2.38,-4.8414,0.44
5540,22.75,-5.0361,0.70295
6108,9.34,-4.8164,0.521799
6004,12.99,-4.9807,0.553672
5497,9.9,-4.5649,0.717411
5937,20.05,-4.6882,0.5745
5888,15.66,-4.8393,0.589881
6030,8.91,-4.8325,0.545653
6273,4.97,-4.6206,0.472328
5851,10.25,-4.6474,0.601581
5586,26.82,-4.7669,0.687603
6201,7.43,-4.6824,0.493753
5981,10.41,-4.9436,0.560796
5948,10.81,-4.8415,0.571064
5928,20.37,-4.8071,0.577315
5134,40.15,-5.0126,0.844206
6335,6.01,-4.7269,0.454074
5956,4.84,-4.6047,0.56857
6112,9.17,-4.8574,0.520584
5145,30.21,-4.8605,0.840233
5988,12.59,-4.8426,0.558625
5647,19.39,-4.8295,0.667445
6076,16.51,-4.6616,0.531548
5874,16.54,-4.8784,0.594299
5482,15.0,-4.6307,0.722483
5913,15.4,-4.7694,0.582018
5670,22.24,-4.9,0.659901
5831,19.49,-4.8402,0.607936
5582,6.94,-4.4918,0.688932
5829,19.9,-4.9144,0.608572
6126,10.78,-5.0419,0.516338
5462,22.58,-4.8868,0.729266
6200,11.58,-4.8193,0.494053
6118,10.46,-4.8151,0.518763
5984,16.64,-4.8098,0.559865
5781,31.66,-4.8693,0.623919
5950,16.07,-4.8564,0.57044
5935,18.66,-4.9177,0.575125
5777,23.31,-5.0044,0.625204
5695,41.76,-5.0115,0.651736
5469,26.3,-4.9202,0.726889
5791,20.83,-4.9604,0.620711
5772,18.34,-4.9327,0.626811
5842,10.39,-4.6635,0.604438
5548,10.25,-4.6306,0.700272
6053,15.41,-5.0131,0.538587
5339,30.64,-4.8503,0.771539
5360,21.81,-4.9016,0.764253
5680,18.73,-5.0952,0.656631
6346,7.48,-4.9006,0.450854
6441,3.15,-4.6573,0.44
5961,15.1,-4.988,0.567012
5537,11.51,-4.5514,0.703955
5917,15.52,-4.7821,0.580763
6016,12.26,-4.9629,0.549967
5476,21.04,-4.7948,0.724515
5996,19.1,-4.9942,0.556147
6122,6.13,-4.6733,0.51755
5673,20.93,-4.9278,0.65892
5741,16.97,-4.7818,0.636805
6427,4.07,-4.7708,0.44
6495,3.5,-4.6132,0.44
6038,11.11,-4.9842,0.543192
5041,36.68,-5.1156,0.878134
5591,24.53,-4.891,0.685942
5775,27.5,-4.9144,0.625846
5340,28.15,-4.8496,0.771191
5527,15.4,-4.6628,0.70731
6069,9.76,-5.0402,0.533687
5667,13.79,-4.6363,0.660884
6412,3.92,-4.512,0.44
6265,6.79,-4.7273,0.474696
5646,23.57,-4.9649,0.667774
5951,14.11,-4.8619,0.570128
5630,13.98,-4.649,0.673041
6272,4.88,-4.7519,0.472624
6072,9.98,-4.8638,0.53277
6301,5.5,-4.8527,0.464062
6140,5.38,-4.6561,0.512101
5253,19.25,-4.6367,0.801678
6245,7.1,-4.9097,0.480631
6468,2.71,-4.7795,0.44
5898,13.32,-4.8367,0.586732
5937,14.57,-4.9007,0.5745
5921,20.55,-4.9505,0.579508
5476,25.75,-4.907,0.724515
5958,10.74,-4.766,0.567947
6105,12.93,-4.7232,0.522711
5564,42.37,-4.9776,0.694927
5651,28.27,-4.984,0.666131
5391,29.39,-4.8135,0.75355
5976,15.67,-4.8108,0.562348
5943,15.5,-4.8304,0.572625
6287,5.78,-4.7882,0.46819
5451,27.35,-4.9124,0.733008
6376,7.87,-4.9088,0.442101
5818,16.51,-4.8645,0.612078
5257,28.84,-4.7665,0.800265
5616,7.45,-4.5909,0.677662
5522,22.42,-4.8795,0.70899
5641,23.65,-4.8128,0.669418
6261,5.79,-4.9794,0.475882
6404,3.48,-4.732,0.44
5873,5.08,-4.5379,0.594615
6301,4.78,-4.7169,0.464062
6341,6.38,-4.9128,0.452317
5342,13.06,-4.598,0.770496
6084,4.62,-4.5011,0.529106
6378,4.22,-4.606,0.441519
6042,12.22,-4.916,0.541963
5953,9.46,-4.6423,0.569505
5721,7.93,-4.5593,0.643282
6326,4.37,-4.8215,0.456713
6295,6.19,-4.657,0.46583
6256,5.12,-4.6176,0.477364
5808,17.24,-4.7678,0.615271
5279,30.0,-4.8866,0.792514
5499,22.58,-4.7472,0.716736
6281,16.68,-4.837,0.469962
5677,24.36,-5.0997,0.657612
5810,13.88,-4.694,0.614632
5648,28.79,-5.1017,0.667117
6120,8.32,-4.9404,0.518156
6253,5.64,-4.9103,0.478255
5821,23.03,-5.0648,0.611121
6441,4.57,-4.8683,0.44
6420,4.64,-4.767,0.44
5905,20.1,-5.0018,0.58453
5775,20.78,-4.8409,0.625846
6058,9.13,-4.9988,0.537054
5980,11.57,-5.01,0.561106
5600,11.12,-4.6465,0.682957
6483,3.03,-4.5632,0.44
5842,17.71,-4.7827,0.604438
6041,19.87,-4.9221,0.54227
6115,3.31,-4.5085,0.519673
5942,13.84,-5.0091,0.572937
6170,12.67,-4.8586,0.503055
5484,29.95,-4.9503,0.721806
6213,6.88,-5.0292,0.490165
5425,20.74,-4.8511,0.741881
5637,12.0,-4.6157,0.670735
5481,26.63,-4.8665,0.722821
5893,5.88,-4.533,0.588306
6038,13.36,-4.5906,0.543192
6215,12.56,-4.8644,0.489568
6453,3.42,-4.9734,0.44
5973,11.12,-5.0769,0.56328
5983,13.55,-4.8226,0.560175
6415,19.63,-4.7203,0.44
6226,22.53,-4.9938,0.486286
5562,25.52,-5.0087,0.695594
5816,19.51,-4.8246,0.612716
5574,20.66,-4.7984,0.691594
5746,29.59,-4.9769,0.63519
5612,34.22,-4.8285,0.678984
6022,8.03,-4.5727,0.548116
6070,7.92,-4.6185,0.533382
6215,6.85,-4.9435,0.489568
6203,6.79,-4.7508,0.493155
6193,5.6,-4.5496,0.496149
6328,5.22,-4.7922,0.456126
5606,24.5,-5.0051,0.68097
6361,5.02,-4.7593,0.446473
6014,10.05,-4.9118,0.550584
5214,16.57,-4.8224,0.815508
6078,7.24,-4.6435,0.530937
5971,11.44,-4.912,0.563901
6051,9.8,-4.7602,0.5392
6363,6.77,-4.8314,0.445889
6221,7.18,-4.9509,0.487777
5841,17.47,-4.779,0.604756
5682,20.62,-4.7106,0.655978
5774,18.89,-4.9428,0.626168
5993,15.02,-5.0356,0.557076
