source,Gaia_id,KIC_id,logRHK,e_logRHK,Prot,Teff,BV,FeH_native,e_FeH_native,Mass,Age,tau_conv,tau_Noyes1984,Ro,log_Ro,F_Ca,F_bas,delta_F,log_dF,epsilon,log_epsilon,dTeff
Ye2024,2052906891896834816,3846936,-4.6019,0.0073,4.22,6335,0.454074,-0.04,0.02,1.22,1.63,10.648698264908191,,0.39629256976006383,-0.40198407034169886,2284011.1173966792,875615.9530850685,1408395.1643116106,6.148724525261829,1.6084622023495512,0.2064108597646339,0.563
Ye2024,2052940495721493504,3746157,-4.7998,0.0081,46.06,5652,0.665803,-0.07,0.02,0.96,11.55,15.354869714245666,,2.9996998253438307,0.4770777978132553,917530.1611431206,391764.5905096211,525765.5706334995,5.720792143251036,1.3420446445901741,0.12776696335656446,-0.12
Ye2024,2052942797824072448,3745516,-4.7062,0.0081,18.96,5730,0.640365,0.03,0.02,1.02,3.98,14.032847450821215,,1.3511156639054351,0.13069252892264516,1202348.1084838973,431509.22517401347,770838.8833098838,5.886963613587209,1.7863786874985808,0.2519735287171121,-0.042
Ye2024,2052946611754933120,3746248,-4.4246,0.0076,1.4,6346,0.450854,0.01,0.03,1.22,1.45,10.648698264908191,,0.13147146864077947,-0.8811684856251347,3459489.4273562827,886391.2856478281,2573098.1417084546,6.410456351149941,2.9028919658521684,0.4628308734109667,0.574
Ye2024,2052961725738200192,4054425,-4.7138,0.007,4.63,6322,0.457887,-0.14,0.02,1.28,2.8,9.863939442164517,,0.4693864988879134,-0.3284694063070986,1750772.4446107,863026.5671272371,887745.8774834629,5.948288664200529,1.0286425833198962,0.01226449910042173,0.55
Ye2024,2052985953656353792,4464689,-4.7733,0.0102,3.18,6444,0.44,0.09,0.02,1.38,1.03,8.730003855438706,,0.36426100751592355,-0.4385873155190048,1647911.4207880707,987521.3615147399,660390.0592733307,5.819800527287256,0.6687349610952934,-0.17474597153036733,0.672
Ye2024,2053066183645759616,4743582,-4.8209,0.0119,5.06,6313,0.460531,-0.19,0.03,1.16,2.53,11.52693877886925,,0.43897170767279525,-0.3575634697294964,1360363.2591211365,854402.1150253027,505961.14409583376,5.704117165945102,0.5921815210872341,-0.2275451488127418,0.541
Ye2024,2053089101591239168,3958877,-5.0313,0.0129,23.76,5806,0.61591,0.08,0.03,1.2,5.3,10.930356368792774,,2.1737626110560404,0.3372121145719706,599542.3454956827,473514.27049042034,126028.07500526233,5.100467302749942,0.26615475574734976,-0.5748657692944252,0.034
Ye2024,2053110748226561024,4160772,-5.0268,0.0129,15.65,5861,0.598411,0.15,0.02,1.1,3.22,12.514101920504952,,1.2505891433053402,0.09711465413591114,629069.4897493013,506058.3973044646,123011.09244483674,5.089944275426182,0.243076872353189,-0.6142563603142308,0.089
Ye2024,2053123426970432000,4268371,-4.8222,0.015,15.19,5670,0.659901,0.05,0.02,1.0,4.33,14.454397707459272,,1.0508912448258647,0.021557773862786418,882559.4554522623,400645.7730953503,481913.682356912,5.6829692568422985,1.2028422979074351,0.0802086916473073,-0.102
Ye2024,2053151155279948288,4059778,-4.6929,0.0116,13.6,5527,0.70731,-0.02,0.03,0.92,8.14,16.339848430570573,,0.8323210620825263,-0.07970911530279322,1073172.6472428888,334619.0988551848,738553.548387704,5.868381989053793,2.207147024525735,0.3438312637522766,-0.245
Ye2024,2053159710854906368,4367689,-4.8762,0.0079,8.36,6218,0.488672,-0.15,0.02,1.12,2.49,12.171862643132958,,0.6868299655613096,-0.163150765354409,1127235.3699907616,767781.3522510945,359454.0177396671,5.555643342231642,0.468172373144733,-0.3295942176039278,0.446
Ye2024,2053163451761824256,4367157,-4.9638,0.0123,19.39,5677,0.657612,0.06,0.03,1.0,3.64,14.454397707459272,,1.3414602526118182,0.1275778090787055,640158.2009443715,404145.9251118225,236012.27583254903,5.372934592748428,0.583977868308946,-0.23360361154073406,-0.095
Ye2024,2053177406120363136,4563261,-4.689,0.0069,9.03,6040,0.542577,0.0,0.02,1.1,2.34,12.514101920504952,,0.7215859401947106,-0.14171193743305044,1544398.9266120363,625619.7023181735,918779.2242938628,5.963211166239417,1.4685906164550364,0.16690074896043974,0.268
Ye2024,2053200220987322112,4838854,-4.5949,0.0141,3.79,6416,0.44,0.02,0.04,1.34,1.72,9.159880552148511,,0.4137608540223846,-0.38325060039399067,2442132.1314533777,957665.1967956569,1484466.9346577208,6.171570528469198,1.5500896760420446,0.1903568237726447,0.644
Ye2024,2053223585607386112,4660134,-4.6355,0.0141,6.49,6460,0.44,-0.2,0.04,1.38,2.29,8.730003855438706,,0.7434131882950766,-0.1287697387030683,2285818.843694609,1004937.9611988947,1280880.8824957144,6.107508743733612,1.2745870212402155,0.1053694918682671,0.688
Ye2024,2053234683802989312,4752155,-4.8019,0.0122,24.86,5692,0.652714,0.19,0.02,1.16,5.92,11.52693877886925,,2.1566870855228637,0.33378713773633045,939228.5863217353,411734.7138727199,527493.8724490154,5.722217419084353,1.281149863433862,0.10759993462801375,-0.08
Ye2024,2053259349793936128,4929905,-4.5399,0.0118,9.88,5959,0.567635,-0.14,0.03,1.02,4.27,14.032847450821215,,0.7040623818241404,-0.15238885949177408,2062553.7655372133,568816.7377205006,1493737.0278167129,6.174274146729313,2.6260426755421715,0.41930177948456543,0.187
Ye2024,2053293954352933504,5015027,-4.792,0.0111,26.84,5466,0.727908,-0.1,0.02,0.88,6.59,17.42033268532819,,1.540728325045438,0.18772606679416218,817128.2890129995,309436.0245377289,507692.2644752706,5.705600546265944,1.64070187119848,0.21502967340161575,-0.306
Ye2024,2053446820826867456,5098483,-4.7543,0.0085,2.74,6458,0.44,-0.07,0.01,1.28,1.6,9.863939442164517,,0.27777948314317125,-0.5562998345046637,1736616.4052667608,1002746.5739153048,733869.831351456,5.865619034658489,0.7318597245224205,-0.13557215214356735,0.686
Ye2024,2053449810123926016,5009366,-4.7735,0.009,6.64,6228,0.48569,-0.12,0.02,1.26,3.35,10.115976103458719,,0.6563874738424639,-0.1828397153901274,1437163.4120458814,776528.9608050457,660634.4512408357,5.819961217847158,0.8507531394011894,-0.0701964396202254,0.456
Ye2024,2053451906068045184,5097889,-4.735,0.0094,6.32,6366,0.445014,-0.17,0.02,1.3,2.78,9.620852087644154,,0.6569064717372212,-0.18249645951157123,1714266.2453058641,906274.5237101548,807991.7215957093,5.907406911166022,0.8915529461072236,-0.049852860543118285,0.594
Ye2024,2053458331339758848,5185653,-4.9415,0.01,10.2,6068,0.533993,0.0,0.02,1.12,2.22,12.171862643132958,,0.8379982833403538,-0.07675687103150786,879617.8321946427,646355.2540288954,233262.57816574734,5.36784507141401,0.36088911896633136,-0.4426262119945756,0.296
Ye2024,2053552545741745536,5880107,-4.6315,0.0134,9.09,5871,0.595248,0.02,0.03,1.24,4.64,10.377405303719263,,0.8759415030982883,-0.05752489580668421,1573838.1126378612,512177.1116503118,1061661.0009875493,6.025985864294179,2.07283960340734,0.31656569763164977,0.099
