angDist,_RAJ2000,_DEJ2000,Gaia,RAJ2000,DEJ2000,SNR-G,Teff,e_Teff,logg,e_logg,FeH,e_FeH,a/Fe,e_a/Fe,GMag,e_GMag,LFlame,e_LFlame,KIC,Prot,e_Prot,Sph,e_Sph,S-index,e_S-index,SNR,logRHK,e_logRHK,Mass,e_Mass,Age,e_Age,DR7,Simbad,_RAJ2000,_DEJ2000,KOI,Svalue,logRHK,S/N,Prot,logAge,Qual,f_Qual,Protph,q_Protph,Simbad,_RA,_DE
0.088566,283.787,48.02956,2131639960321654784,283.787,48.02956,59.73,5256,21,4.51,0.04,-0.12,0.06,0.07,0.02,5.58,0.02,0.5,0.007,10714072,10.98,0.74,6092.0,240.0,,,,,,0.86,0.06,5.72,2.39,DR7,Simbad,283.7869953,48.0295844,K04024,0.399,-4.523,7.7,16.93,8.9901,1.0,ok,11.26,3,Simbad,283.787,48.02958
0.046765,297.96155,48.24436,2086519988847378432,297.96155,48.24436,54.8,5403,25,4.35,0.05,-0.02,0.06,0.02,0.02,5.22,0.01,0.6,0.007,10878263,18.21,1.57,3858.9,125.2,,,,,,0.88,0.07,7.91,2.2,DR7,Simbad,297.9615433,48.2443722,K00341,0.283,-4.609,10.0,17.503,9.1395,1.0,ok,18.44,3,Simbad,297.96154,48.24437
0.055313,290.02592,48.33594,2129469936685285376,290.02592,48.33594,94.87,6189,16,4.11,0.03,-0.03,0.04,0.0,0.02,3.24,0.02,4.0,0.07,10916600,12.3,1.83,120.9,8.2,,,,,,1.32,0.08,3.05,0.73,DR7,Simbad,290.0258992,48.3359467,K02623,0.13,-5.22,11.4,14.362,10.0584,1.0,ok,12.47,3,Simbad,290.0259,48.33595
0.073962,290.84906,48.41601,2129500035816095744,290.84906,48.41601,77.41,5727,16,4.49,0.03,-0.03,0.04,0.01,0.01,4.56,0.35,0.9,0.02,10973664,10.59,0.75,4753.1,195.0,,,,,,0.98,0.04,3.54,1.03,DR7,Simbad,290.8490906,48.4160131,K00601,0.285,-4.549,6.6,10.675,9.0397,1.0,ok,10.86,3,Simbad,290.84909,48.41601
0.069907,290.92746,48.44355,2129509931420745728,290.92746,48.44355,66.83,5457,19,4.43,0.04,0.06,0.05,-0.01,0.02,5.19,0.04,0.6,0.02,10973814,22.9,2.15,225.7,12.0,,,,,,0.94,0.04,3.93,1.53,DR7,Simbad,290.9274717,48.4435322,K01307,0.189,-4.888,6.1,31.632,9.569,1.0,ok,28.13,2,Simbad,290.92747,48.44353
0.057730,293.35172,48.44464,2128910010388840448,293.35172,48.44464,75.04,5384,16,4.59,0.03,-0.06,0.04,-0.02,0.01,5.45,0.03,0.5,0.01,10978763,16.64,1.33,4280.7,140.2,,,,,,0.88,0.05,3.76,1.87,DR7,Simbad,293.3517144,48.4446244,K01931,0.271,-4.666,7.1,22.508,9.2239,1.0,ok,16.84,3,Simbad,293.35171,48.44462
0.079909,286.58058,48.54419,2131170056539734016,286.58058,48.54419,203.14,6213,7,4.03,0.02,-0.15,0.02,0.06,0.01,3.26,0.02,4.0,0.06,11019987,14.05,1.8,42.9,4.4,,,,,,1.32,0.07,3.05,0.73,DR7,Simbad,286.5806097,48.5441797,K03060,0.125,-5.292,10.8,16.737,10.1447,0.0,bad_seeing,13.17,3,Simbad,286.58061,48.54418
0.169988,287.02229,48.68194,2131259941615304704,287.02229,48.68194,99.08,5454,12,4.33,0.02,0.2,0.03,0.04,0.01,4.97,0.01,0.8,0.01,11075279,27.83,4.87,251.8,10.1,,,,,,0.96,0.03,7.38,0.86,DR7,Simbad,287.0223361,48.6819761,K01431,0.174,-4.954,13.3,35.394,9.6749,1.0,ok,29.78,2,Simbad,287.02234,48.68198
0.194081,285.66708,48.71956,2131920060908830720,285.66708,48.71956,99.12,5907,14,4.36,0.03,0.13,0.03,0.04,0.02,4.36,0.02,1.0,0.02,11126381,11.2,1.04,1433.5,66.3,,,,,,1.12,0.03,2.85,0.61,DR7,Simbad,285.6671597,48.7195719,K01863,0.187,-4.827,10.9,14.991,9.4711,1.0,ok,11.78,3,Simbad,285.66716,48.71957
0.285651,286.33829,48.74411,2131179952144384000,286.33829,48.74411,377.49,5906,3,4.14,0.01,0.09,0.01,0.03,0.01,3.88,0.02,2.0,0.02,11127479,19.06,2.72,54.4,3.2,,,,,,1.16,0.03,4.98,0.06,DR7,Simbad,286.3384097,48.7441019,K02792,0.127,-5.269,9.9,27.487,10.117,1.0,ok,17.4,3,Simbad,286.33841,48.7441
